timestep,episode_reward
665216,423.696885
665808,431.44109
668784,428.07627
668864,432.338242
669280,420.911701
669776,427.661471
670296,429.824341
670368,438.171915
670712,421.706122
671496,426.994626
674448,424.560512
674520,423.026857
674912,428.230656
675480,425.034
675744,425.163572
676136,426.780499
676584,430.26347
677192,430.905494
680168,433.35786
680232,430.559607
680536,426.853565
681760,433.023407
681864,429.126287
681928,442.630549
682816,434.471063
683504,443.964412
685984,433.0195
686208,435.784712
686464,430.548975
687552,424.134058
687712,433.693227
688112,439.912333
688400,423.914174
689168,425.212176
691336,421.612109
691904,433.324109
692768,419.264073
693144,446.282373
693872,434.304542
694152,436.026941
694200,427.612028
694952,429.047363
696712,420.852365
698016,438.588488
698656,433.985468
698840,432.348932
699632,424.678745
699896,422.199351
700032,438.18717
700760,433.266803
702240,420.172281
703536,421.955132
704512,429.192872
704664,428.096038
705488,424.784322
705752,436.748257
705904,430.446202
707040,436.827502
707696,417.889054
709104,422.877059
710160,423.804891
710536,430.939842
711496,430.975841
711520,432.144644
712104,439.268255
713008,431.633288
713712,430.588433
715472,440.515776
715680,418.022272
716648,435.916212
717096,421.092335
717192,423.127842
717848,433.821394
718848,425.131331
719104,420.984194
721392,429.160683
721760,431.340671
722368,433.517465
722824,421.500054
723264,425.199086
723840,436.003667
724344,425.205624
724744,426.3763
727184,434.17834
727608,428.707666
728200,429.866953
728544,431.898908
728856,421.457662
729520,422.065066
729976,429.865454
730296,419.26703
733224,435.731888
733568,429.986982
734048,425.567931
734088,431.8561
734320,418.748104
735328,427.507177
735704,429.429832
736136,432.400122
739280,437.553326
739568,428.426597
739600,424.048943
739968,427.477203
740008,425.169323
740992,426.087943
741488,431.331215
741896,424.608572
745064,430.400884
745472,422.936747
745640,430.053774
745648,434.786132
745952,432.794451
746824,434.319547
747144,420.505826
748096,435.15247
751016,424.265332
751048,420.325109
751184,434.07575
751712,434.464197
752272,438.731347
752352,433.369216
752840,426.08698
754056,435.008286
756920,431.514264
757000,424.041989
757248,431.362202
757504,429.220798
758016,424.818287
758448,427.994916
758448,435.401094
759616,428.238458
763008,428.392096
763032,433.900789
763032,421.02616
763040,421.988578
763760,432.143192
764008,424.112351
764440,431.937318
765160,424.463483
768456,420.212768
768672,423.283998
768992,432.717188
769040,427.358591
769384,429.593349
769760,431.071015
770288,425.49707
771216,427.175511
773880,421.917265
774000,423.677338
774896,427.370664
774952,433.454985
775176,433.390186
775728,434.9465
775832,427.216454
777056,432.950862
779912,425.840477
780024,435.744306
780800,436.46908
780848,427.710237
781000,439.070332
781432,431.031392
781544,423.533815
782784,427.494561
785304,424.347233
785608,430.607911
786248,417.565236
786664,432.051902
787168,440.259484
787400,426.834611
787952,446.1019
788560,432.204167
791048,430.272818
791632,439.070734
792240,431.907849
792256,427.62439
792632,429.687214
793144,420.406719
793968,428.377268
794432,433.646802
796432,421.930477
797400,435.247969
798008,424.43121
798072,427.262544
798448,429.30666
798784,426.223587
799720,427.703862
799888,420.273325
802224,422.348761
802896,420.875806
803992,430.634651
804256,438.98556
804472,432.676065
804768,429.663345
805656,428.488082
805704,435.529857
807840,428.872372
808944,435.853974
809688,426.52514
810008,424.797053
810160,429.17688
810920,433.007022
811416,425.71137
811432,424.368571
813416,425.020273
814912,436.443642
815600,432.532758
815616,425.185339
816224,436.918992
816984,430.858905
817512,436.246114
817832,435.365773
819448,432.525367
820680,431.940197
821464,434.315078
821672,436.177931
821928,425.797939
822776,429.230888
823184,423.819507
824128,438.892098
825544,432.730894
826912,438.215056
827224,435.680954
827552,433.170415
827840,431.214499
828520,429.904515
828992,431.331897
830168,433.565866
831344,427.46083
832856,433.492589
833024,433.486795
833184,422.174567
833640,425.054929
834456,434.618425
834880,435.354486
835896,430.524972
837096,432.495575
838296,420.527768
838816,428.200083
838880,432.764028
839544,436.410838
840384,435.948483
840648,433.637736
841752,429.058586
842968,424.023699
843784,418.89839
844816,434.273852
844848,431.72027
845632,435.114897
846240,433.139503
846584,432.965205
847960,434.709167
848208,421.00396
849840,439.973562
850432,429.885933
851056,441.210842
851760,433.468138
851960,425.100903
852648,443.242825
853976,432.284088
854376,438.737452
856008,434.63002
